Date;1A, 0.90;1A, 0.95;1A, 0.97;2A, 0.90;2A, 0.95;2A, 0.97;3A, 0.90;3A, 0.95;3A, 0.97;3B, 0.90;3B, 0.95;3B, 0.97;4A, 0.90;4A, 0.95;4A, 0.97;4B, 0.90;4B, 0.95;4B, 0.97;5A, 0.90;5A, 0.95;5A, 0.97;5B, 0.90;5B, 0.95;5B, 0.97;6A, 0.90;6A, 0.95;6A, 0.97;6B, 0.90;6B, 0.95;6B, 0.97;6C, 0.90;6C, 0.95;6C, 0.97;7A, 0.90;7A, 0.95;7A, 0.97
1/1/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2026;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/1/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2027;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/1/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2028;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/1/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2029;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/1/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2030;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/1/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2031;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/1/2032;20.19;16.18;14.64;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
